PERIODO_EVALUACION,PERIODO_VENTA,TIPO_PERIODO,FECHA_EVALUACION,VENTA_CANAL,VENTA_PDV_CODIGO,VENTA_PDV_DESC,VENTA_USUARIO,TIPO_PRODUCTO,SERVICIO,TIPO_VENTA_DES,NRO_SEC,ESTADO,NRO_PEDIDO,PEDIDO_ESTADO,CANTIDAD_LINEAS,FECHA_HORA_ENTREGA,NRO_SOT,SOT_ESTADO,UGIS,FECHA_INSTALACION,DEPARTAMENTO,PROVINCIA,DISTRITO,PACK_CHIP,EQUIPO_MARCA,EQUIPO_MODELO,CARGO_FIJO,PLAN_COMERCIAL,CAMPANA_APLICADA,OPERADOR_CEDENTE,TIPO_ENTREGA,DERIVACION_CANAL,DERIVACION_PDV_CODIGO,DERIVACION_PDV_DESC,ESTADO_ACTIVACION,VALIDACION_VENTA,MOTIVO_ASIGNACION,FECHA_ACTIVACION,ORIGEN_VTA_PDV,ORIGEN_VTA_PDV_DESC,CARGO_FIJO_ACTIVACION,SOCIO_LATAM,ORIGEN_CLIENTE,TIPO_COINCIDENCIA,TIPO_PAGO_ORIGEN
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8415794,MOVIL,PORTABILIDAD,POSTPAGO,97631833,APROBADO,127021800,PEDIDO ENTREGADO,1,15/09/2025 18:02,,,,,LAMBAYEQUE,CHICLAYO,CHICLAYO,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,BITEL,PRESENCIAL,ACD,UGML,SPORTDIMA CIX V,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,69.9,,BASE MES ACTUAL,POR LINEA,PREPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8415772,MOVIL,PORTABILIDAD,POSTPAGO,97644336,APROBADO,127010387,PEDIDO ENTREGADO,2,15/09/2025 14:47,,,,,AREQUIPA,CAYLLOMA,MAJES,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,BITEL,PRESENCIAL,ACD,LD6N,FADO ARE AV AREQ 1,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,69.9,,BASE MESES ANTERIORES,POR DOCUMENTO,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8409221,MOVIL,PORTABILIDAD,POSTPAGO,97641430,APROBADO,127005135,PEDIDO ENTREGADO,1,15/09/2025 16:12,,,,,LIMA,LIMA,SAN JUAN DE LURIGANCHO,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,ENTEL,DELIVERY,DELIVERY,DELIVERY,DELIVERY,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,69.9,LATAM,BASE MESES ANTERIORES,POR LINEA,PREPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8407679,MOVIL,PORTABILIDAD,POSTPAGO,97633495,APROBADO,,,1,,,,,,LIMA,LIMA,PUENTE PIEDRA,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,ENTEL,PRESENCIAL,CADENA,SR67,TOTTUS PPIEDRA_SN,VENTA BRUTA,,,,,,,,BASE MES ACTUAL,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8407467,MOVIL,PORTABILIDAD,POSTPAGO,97639773,APROBADO,127002581,PEDIDO ENTREGADO,1,15/09/2025 15:36,,,,,LIMA,LIMA,SAN JUAN DE LURIGANCHO,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,DELIVERY,DELIVERY,DELIVERY,DELIVERY,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,69.9,,BASE MESES ANTERIORES,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8415810,MOVIL,PORTABILIDAD,POSTPAGO,97648167,APROBADO,127013683,PEDIDO ENTREGADO,1,15/09/2025 16:44,,,,,LIMA,LIMA,LA VICTORIA,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,ENTEL,DELIVERY,DELIVERY,DELIVERY,DELIVERY,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,69.9,LATAM,BASE MES ACTUAL,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8409221,MOVIL,PORTABILIDAD,POSTPAGO,97646371,APROBADO,127011030,PEDIDO ENTREGADO,1,15/09/2025 15:22,,,,,LIMA,LIMA,LOS OLIVOS,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,DELIVERY,DELIVERY,DELIVERY,DELIVERY,VENTA ACTIVA,,,16/09/2025 00:00,5PTW,RECUPERA_PORT_OUT,69.9,LATAM,BASE MESES ANTERIORES,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8415563,MOVIL,PORTABILIDAD,POSTPAGO,97644812,APROBADO,,,1,,,,,,LIMA,LIMA,ATE,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,PRESENCIAL,CADENA,E243,FOOD RETAIL SANTA CLARA_SN,VENTA BRUTA,,,,,,,,BASE MES ACTUAL,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8414769,MOVIL,PORTABILIDAD,POSTPAGO,97633436,APROBADO,127045474,PEDIDO ENTREGADO,1,16/09/2025 12:51,,,,ENTREGADO,AREQUIPA,CAYLLOMA,MAJES,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,BITEL,PRESENCIAL,CADENA,MX06,ESTILOS PEDREGAL,VENTA ENTREGADA,,,,,,,,BASE MESES ANTERIORES,POR LINEA,POSTPAGO
202509,202509,MES ACTUAL,15/09/2025 00:00,TELEVENTAS OUTBOUND,5PTW,RECUPERA,E8415752,MOVIL,PORTABILIDAD,POSTPAGO,97633975,APROBADO,,,1,,,,,,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,CHIP,,,69.9,Max Ilimitado 69.90,DTO PORTABILIDAD POSTPAGO,MOVISTAR,PRESENCIAL,CADENA,4MA6,TIEND EFE MOQUEGUA,VENTA BRUTA,,,,,,,LATAM,BASE MES ACTUAL,POR LINEA,POSTPAGO
